age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,anual_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,year_birth,monthly_income,number_children,remote_work
51,No,Unknown,684.0,Unknown,6.0,3,Unknown,162,1,Male,51.0,3,2,Research Director,3,Unknown,19537.0,6462.0,7,Yes,No,13.0,3,3,,0.0,0,5,3,20,0,15,15,1972,1628.08,,Yes
52,No,Unknown,699.0,Unknown,1.0,4,Life Sciences,259,3,Male,65.0,2,2,Manager,3,Unknown,19999.0,5678.0,0,Yes,Unknown,14.0,3,1,,1.0,34,5,3,33,0,11,9,1971,1666.58,,Yes
42,No,Travel Rarely,532.0,Research & Development,4.0,2,Technical Degree,319,3,Male,58.0,3,2,Manager,4,Married,19232.0,4933.0,1,Yes,No,11.0,3,4,,0.0,22,3,0,22,0,11,15,1981,1602.67,,Yes
47,No,Travel Rarely,359.0,Unknown,2.0,4,Medical,0,1,Female,82.0,3,4,Research Director,3,Married,17169.0,26703.0,3,Yes,Unknown,19.0,3,2,,2.0,0,2,0,20,0,5,6,1976,1430.75,,No
46,No,Unknown,1319.0,Unknown,3.0,3,Technical Degree,0,1,Female,45.0,4,4,Sales Executive,1,Divorced,6982.03,7739.0,2,Yes,No,12.0,3,4,,1.0,0,5,3,19,0,2,8,1977,581.84,,No
48,No,Unknown,117.0,Research & Development,22.0,3,Medical,1900,4,Female,58.0,3,4,Manager,4,Unknown,17174.0,2437.0,3,Yes,No,11.0,3,2,,1.0,0,3,3,22,0,4,7,1975,1431.17,,Yes
59,No,Unknown,1435.0,Unknown,25.0,3,Life Sciences,81,1,Female,99.0,3,3,Sales Executive,1,Unknown,6982.03,2354.0,7,Yes,Unknown,11.0,3,4,,0.0,28,3,2,21,0,7,9,1964,581.84,,Yes
42,No,Travel Rarely,635.0,Unknown,1.0,1,Unknown,387,2,Male,99.0,3,2,Sales Executive,3,Married,6982.03,24532.0,1,Yes,No,25.0,4,3,,0.0,20,3,3,20,0,11,6,1981,581.84,,No
41,No,Unknown,1276.0,Unknown,2.0,3,Unknown,0,2,Female,91.0,3,4,Manager,1,Married,16595.0,5626.0,7,Yes,No,16.0,3,2,,1.0,22,2,3,18,0,11,8,1982,1382.92,,Yes
41,No,Travel Frequently,840.0,Unknown,9.0,3,Unknown,999,1,Male,64.0,3,2,Research Director,3,Unknown,16089.84,3735.0,2,Yes,No,17.0,3,2,,1.0,21,2,4,18,0,0,11,1982,1340.82,,No
41,No,Non Travel,247.0,Unknown,7.0,1,Unknown,1035,2,Female,55.0,1,2,Research Director,3,Unknown,19973.0,20284.0,1,Yes,No,22.0,4,2,,2.0,0,3,3,21,0,5,10,1982,1664.42,,No
56,No,Travel Rarely,1369.0,Unknown,23.0,3,Life Sciences,0,4,Male,68.0,3,4,Manufacturing Director,2,Married,13402.0,18235.0,4,Yes,Yes,12.0,0,1,,1.0,33,0,3,19,0,15,9,1967,1116.83,,No
38,No,Unknown,201.0,Unknown,10.0,3,Medical,0,2,Female,99.0,1,3,Research Director,3,Married,13206.0,3376.0,3,Yes,No,12.0,3,1,,1.0,0,3,3,18,0,1,11,1985,1100.5,,Yes
41,Yes,Travel Rarely,1360.0,Unknown,12.0,3,Unknown,58,2,Female,49.0,3,2,Research Director,3,Married,19545.0,16280.0,1,Yes,No,12.0,3,4,,0.0,0,0,3,22,0,15,8,1982,1628.75,,No
55,No,Unknown,692.0,Unknown,14.0,4,Medical,0,3,Male,61.0,4,2,Research Director,2,Single,16089.84,13339.0,8,Yes,No,11.0,3,4,,0.0,0,3,3,24,0,2,15,1968,1340.82,,Yes
40,No,Travel Rarely,1398.0,Unknown,2.0,4,Unknown,558,3,Female,79.0,3,2,Manager,3,Unknown,18041.0,13022.0,0,Yes,No,14.0,3,4,,0.0,0,2,3,20,0,1,12,1983,1503.42,,No
58,Yes,Travel Rarely,286.0,Unknown,2.0,4,Unknown,825,4,Male,31.0,3,2,Research Director,2,Single,19246.0,25761.0,7,Yes,Yes,12.0,3,4,,0.0,40,2,3,31,0,13,8,1965,1603.83,,No
46,No,Travel Rarely,1402.0,Unknown,2.0,3,Unknown,0,3,Female,69.0,3,4,Manager,1,Unknown,17421.96,24097.0,8,Yes,Unknown,23.0,4,1,,0.0,28,2,3,26,0,15,9,1977,1451.83,,No
35,No,Unknown,819.0,Unknown,13.0,3,Life Sciences,0,2,Male,48.0,4,2,Research Scientist,1,Married,3314.25,26312.0,1,Yes,Unknown,11.0,3,4,,0.0,0,2,3,16,0,1,10,1988,276.19,,No
40,No,Travel Rarely,884.0,Unknown,15.0,3,Life Sciences,0,1,Female,80.0,2,3,Manufacturing Director,3,Unknown,7350.56,25800.0,1,Yes,Unknown,13.0,3,4,,2.0,18,2,0,18,0,14,12,1983,612.55,,Yes
45,No,Non Travel,1238.0,Research & Development,1.0,1,Unknown,1712,3,Male,74.0,2,3,Healthcare Representative,3,Unknown,10748.0,3395.0,3,Yes,Unknown,23.0,4,4,,1.0,25,3,2,23,0,14,4,1978,895.67,,No
33,No,Unknown,515.0,Unknown,1.0,2,Life Sciences,73,1,Female,98.0,3,3,Research Director,4,Single,16089.84,15146.0,1,Yes,Yes,12.0,3,3,,0.0,15,1,3,15,0,8,12,1990,1340.82,,Yes
36,No,Unknown,1223.0,Unknown,8.0,3,Unknown,0,3,Female,59.0,3,3,Healthcare Representative,3,Divorced,7812.92,8202.0,1,Yes,Unknown,13.0,0,2,,3.0,17,2,3,17,0,12,8,1987,651.08,,Yes
47,No,Unknown,202.0,Unknown,2.0,2,Other,820,3,Female,33.0,3,4,Manager,4,Married,16752.0,12982.0,1,Yes,Unknown,11.0,3,3,80.0,1.0,0,3,2,26,0,3,0,1976,1396.0,,No
36,No,Travel Rarely,928.0,Unknown,42.0,2,Life Sciences,0,4,Male,56.0,3,2,Sales Executive,4,Unknown,6201.0,2823.0,1,Yes,Unknown,14.0,3,4,,1.0,18,1,0,18,0,4,11,1987,516.75,,Yes
35,No,Unknown,607.0,Unknown,9.0,3,Life Sciences,0,4,Female,66.0,2,3,Manufacturing Director,3,Married,7350.56,23457.0,1,Yes,Yes,20.0,4,2,80.0,1.0,17,2,3,17,0,5,15,1988,612.55,,No
